text,sentiment
"i`d responded, going",neutral
sooo sad miss san diego!!!,negative
bos bullying me...,negative
interview! leave alone,negative
"son ****, couldn`t put release already bought",negative
- shameless plugging best ranger forum earth,neutral
2am feeding baby fun smile coo,positive
soooo high,neutral
,neutral
journey!? wow... u became cooler. hehe... (is possible!?),positive
"much love hopeful, reckon chance minimal =p i`m never gonna get cake stuff",neutral
really really like song love story taylor swift,positive
sharpie running dangerously low ink,negative
want go music tonight lost voice.,negative
test test lg env2,neutral
"uh oh, sunburned",negative
"s`ok, trying plot alternative speak *sigh*",negative
"i`ve sick past day thus, hair look wierd. didnt hat would look...",negative
back home gonna miss every one,negative
,neutral
"oh marly, i`m sorry!! hope find soon!! <3 <3",neutral
playing ghost online really interesting. new update kirin pet metamorph third job. can`t wait dragon pet,positive
cleaning house family comming later today..,neutral
gotta restart computer .. thought win7 supposed put end constant rebootiness,neutral
see wat mean bout foll0w friidays... it`s called lose f0llowers friday... smh,neutral
"free fillin` app ipod fun, im addicted",positive
i`m sorry.,negative
way malaysia...no internet access twit,negative
juss came backk berkeleyy ; omg madd fun havent minute . whassqoodd ?,positive
went sleep power cut noida power back working,negative
i`m going home now. seen new twitter design? quite....heavenly isn`****?,positive
hope unni make audition . fighting dahye unni !,positive
consolation got bmi tested hahaha say obesed well much unhappy 10 minutes.,negative
that`s funny. cute kids.,positive
"ahhh, slept game. i`m gonna try best watch tomorrow though. hope play army.",neutral
"thats it, end. tear fear v eric prydz, dj hero",neutral
born raised nyc living texas past 10 years! still miss ny,negative
"case wonder, really busy today coming adding ton new blog update stay tuned",neutral
i`m soooooo sleeeeepy!!! last day o` school today....sniffle....,negative
"little happy wine jeje ok it`sm free time cares, jaja love day",positive
"car happy, big big dent boot! hoping theyre going write off, crossing finger waiting",neutral
im avid fan **** magazine love magazine,positive
mayday?!,neutral
"ratt rocked nashville tonite..one thing sucked, encore! like 80`s still fun show. pearcy hott bad boy look",neutral
love to! i`m available 5pm. dear? would love help convert vids.,positive
girl hair salon asked 'shall trim eyebrows!' old feel?,neutral
egh blah boooooooooooo dunno wanna go work hangover suckkkkkk im drunk mess!,negative
:visiting friendster facebook,neutral
"donbt like peel prawns, also dont like going shopping, running money crawling round car looking",negative
case? got new one last week i`m thrilled mine.,negative
check connect tweeple hate twitter,neutral
"also bored school, third freelesson( freistunde )",neutral
hm... u guess...,neutral
****...u dissappointed past day,negative
romance zero funny,positive
i`d rather early run..but morning runner,neutral
bah coworker ran work late bag smacked knee really hurt,negative
back later.,neutral
aw. torn ace heart,negative
fun speaking of?,neutral
"lost friends, i`m alone sleepy..i wanna go home",negative
haha yes,neutral
give easily,negative
better way spoil mum let kick back relax nice meal bottle favorite wine? wine red,positive
mannnn..... _ got iphone!!! im jealous....,negative
photoshoot.,neutral
he`s awesome... worked before? he`s good friend.,positive
yay playing show tonight! boo it`s gonna soggy i`m work right playing,neutral
chilliin,positive
"know agent, let know",neutral
still smell smoke,neutral
celtics-lakers rematch sound better don`t think? lol,positive
"anyone extra keane ticket? promise buy drink take rad pic fb / blog / flickr., etc",neutral
"'you ride one, catch one, summer til pop open one' ?",neutral
good! gor-juz yea kno asked yesterday tha hospital talked u said,neutral
ok - i`m now. popped say hi check things. i`ll probably head guttah later tonight,neutral
"wow, really missin fam(ily) today. baddd.",negative
source say,neutral
sooo tired,negative
"hey, change twitter account, didn`t even tell me...",neutral
thank yyyyyyyyyoooooooooouuuuu!,positive
lucky kid...i wanna see loserville pity im oz....,positive
fell asleep waiting ride!,neutral
sick. flu like thing.,negative
"still reply simfinger problem irape parody video get response, sorry guy",negative
